testid	result
RMLTC0000-CSV	passed
RMLTC0000-JSON	passed
RMLTC0000-XML inapplicable
RMLTC0000-MySQL	passed
RMLTC0000-PostgreSQL passed	
RMLTC0000-SQLServer	
RMLTC0000-SPARQL inapplicable	
RMLTC0001a-CSV	passed
RMLTC0001a-JSON	passed
RMLTC0001a-XML inapplicable
RMLTC0001a-MySQL	passed
RMLTC0001a-PostgreSQL passed
RMLTC0001a-SQLServer	
RMLTC0001a-SPARQL	inapplicable
RMLTC0001b-CSV	passed
RMLTC0001b-JSON	passed
RMLTC0001b-XML inapplicable
RMLTC0001b-MySQL	passed
RMLTC0001b-PostgreSQL	passed
RMLTC0001b-SQLServer	
RMLTC0001b-SPARQL	inapplicable
RMLTC0002a-CSV	passed
RMLTC0002a-JSON	passed
RMLTC0002a-XML inapplicable
RMLTC0002a-MySQL	passed
RMLTC0002a-PostgreSQL	passed
RMLTC0002a-SQLServer	
RMLTC0002a-SPARQL	inapplicable
RMLTC0002b-CSV	passed
RMLTC0002b-JSON	passed
RMLTC0002b-XML inapplicable
RMLTC0002b-MySQL	passed
RMLTC0002b-PostgreSQL	passed
RMLTC0002b-SQLServer	
RMLTC0002b-SPARQL	inapplicable
RMLTC0002c-CSV	failed
RMLTC0002c-JSON	failed
RMLTC0002c-XML inapplicable
RMLTC0002c-MySQL	failed
RMLTC0002c-PostgreSQL	failed	
RMLTC0002c-SQLServer	
RMLTC0002d-MySQL passed	
RMLTC0002d-PostgreSQL passed
RMLTC0002d-SQLServer	
RMLTC0002e-CSV	failed
RMLTC0002e-JSON	failed
RMLTC0002e-XML inapplicable
RMLTC0002e-MySQL	failed
RMLTC0002e-PostgreSQL failed
RMLTC0002e-SQLServer 
RMLTC0002f-MySQL	failed
RMLTC0002f-PostgreSQL failed
RMLTC0002f-SQLServer	
RMLTC0002g-MySQL	failed
RMLTC0002g-PostgreSQL failed
RMLTC0002g-SQLServer	
RMLTC0002g-SPARQL	inapplicable
RMLTC0002h-MySQL	failed
RMLTC0002h-PostgreSQL	failed
RMLTC0002h-SQLServer	
RMLTC0002h-SPARQL	inapplicable
RMLTC0002i-MySQL	passed
RMLTC0002i-PostgreSQL	passed	
RMLTC0002i-SQLServer	
RMLTC0002j-MySQL	passed
RMLTC0002j-PostgreSQL passed
RMLTC0002j-SQLServer	
RMLTC0003a-MySQL	failed
RMLTC0003a-PostgreSQL	failed
RMLTC0003a-SQLServer	
RMLTC0003b-MySQL	passed
RMLTC0003b-PostgreSQL passed
RMLTC0003b-SQLServer	
RMLTC0003c-CSV	passed
RMLTC0003c-JSON	passed
RMLTC0003c-XML inapplicable
RMLTC0003c-MySQL	passed
RMLTC0003c-PostgreSQL	passed
RMLTC0003c-SQLServer	
RMLTC0003c-SPARQL	inapplicable
RMLTC0004a-CSV	passed
RMLTC0004a-JSON	passed
RMLTC0004a-XML inapplicable	inaplicable
RMLTC0004a-MySQL  passed	
RMLTC0004a-PostgreSQL	passed
RMLTC0004a-SQLServer	
RMLTC0004a-SPARQL	inapplicable
RMLTC0004b-CSV	passed
RMLTC0004b-JSON	passed
RMLTC0004b-XML inapplicable
RMLTC0004b-MySQL	passed
RMLTC0004b-PostgreSQL	passed
RMLTC0004b-SQLServer	
RMLTC0004b-SPARQL	inapplicable
RMLTC0005a-CSV	passed
RMLTC0005a-JSON	passed
RMLTC0005a-XML inapplicable
RMLTC0005a-MySQL	passed
RMLTC0005a-PostgreSQL	passed
RMLTC0005a-SQLServer	
RMLTC0005b-MySQL	passed
RMLTC0005b-PostgreSQL	passed
RMLTC0005b-SQLServer	
RMLTC0006a-CSV	inapplicable
RMLTC0006a-JSON	inapplicable
RMLTC0006a-XML inapplicable
RMLTC0006a-MySQL	inapplicable
RMLTC0006a-PostgreSQL  inapplicable
RMLTC0006a-SQLServer   inapplicable
RMLTC0006a-SPARQL	inaplicable
RMLTC0007a-CSV	passed
RMLTC0007a-JSON	passed
RMLTC0007a-XML inapplicable
RMLTC0007a-MySQL	passed
RMLTC0007a-PostgreSQL	passed
RMLTC0007a-SQLServer	
RMLTC0007a-SPARQL	inapplicable
RMLTC0007b-CSV	passed
RMLTC0007b-JSON	passed
RMLTC0007b-XML inapplicable
RMLTC0007b-MySQL	inapplicable
RMLTC0007b-PostgreSQL	inapplicable
RMLTC0007b-SQLServer	
RMLTC0007b-SPARQL	inapplicable
RMLTC0007c-CSV	passed
RMLTC0007c-JSON	passed
RMLTC0007c-XML inapplicable
RMLTC0007c-MySQL	passed
RMLTC0007c-PostgreSQL	passed
RMLTC0007c-SQLServer	
RMLTC0007c-SPARQL	inapplicable
RMLTC0007d-CSV	passed
RMLTC0007d-JSON	passed
RMLTC0007d-XML inapplicable
RMLTC0007d-MySQL passed
RMLTC0007d-PostgreSQL	passed
RMLTC0007d-SQLServer	
RMLTC0007d-SPARQL	inapplicable
RMLTC0007e-CSV	inapplicable
RMLTC0007e-JSON	inapplicable
RMLTC0007e-XML inapplicable	
RMLTC0007e-MySQL	inapplicable
RMLTC0007e-PostgreSQL	inapplicable	
RMLTC0007e-SQLServer	
RMLTC0007e-SPARQL	ianpplicable
RMLTC0007f-CSV	inapplicable
RMLTC0007f-JSON		inapplicable
